0        | 2          | 6996       | 1733053    | 3749033    | 59519      | 62579056154 | 11908      | 2835375349 | 	type = INSERT
0        | 53         | 7002       | 1782924    | 3866704    | 50119      | 55364878107 | 10308      | 2877601111 | 	type = INSERT
0        | 487        | 7016       | 1868947    | 3736376    | 44109      | 55364837963 | 10187      | 2836356911 | 	type = INSERT
0        | 933        | 7018       | 1655446    | 3763283    | 20758      | 55364847798 | 11456      | 2835413473 | 	type = INSERT
0        | 1297       | 6996       | 1801712    | 3751116    | 5602       | 55364815811 | 11093      | 2835391957 | 	type = INSERT
0        | 1354       | 7018       | 1661621    | 3860541    | 29739      | 55568799816 | 12730      | 2835383931 | 	type = INSERT
0        | 1492       | 7003       | 1664639    | 3764673    | 35526      | 56505690051 | 8624       | 2867811747 | 	type = INSERT
0        | 1761       | 7009       | 1664551    | 3795559    | 47453      | 55364862783 | 12055      | 2835565044 | 	type = INSERT
0        | 1976       | 6990       | 1640927    | 3897589    | 18977      | 55364899767 | 8509       | 2835632785 | 	type = INSERT
0        | 2218       | 7017       | 1657507    | 3764785    | 3033       | 55372601235 | 10629      | 2835388658 | 	type = INSERT
0        | 2457       | 7016       | 1682925    | 3753029    | 3189       | 55364824421 | 9998       | 2835432098 | 	type = INSERT
0        | 2541       | 6996       | 1675290    | 3792739    | 41111      | 66337142636 | 11206      | 2835411234 | 	type = INSERT
0        | 2679       | 7003       | 1649370    | 3800951    | 14456      | 55364819812 | 11536      | 3269482681 | 	type = INSERT
0        | 2776       | 6994       | 1700798    | 3741179    | 6786       | 55364819921 | 12317      | 2835361406 | 	type = INSERT
0        | 3203       | 7017       | 1695755    | 3737235    | 57529      | 55364853767 | 11257      | 2835395718 | 	type = INSERT
0        | 3237       | 7006       | 1765496    | 3745167    | 15453      | 55364875974 | 9059       | 2862996172 | 	type = INSERT
0        | 3335       | 7009       | 1682298    | 4109330    | 30685      | 55372147662 | 11647      | 2862631193 | 	type = INSERT
0        | 3401       | 7006       | 1701838    | 3783977    | 11124      | 55364832550 | 9468       | 3277884419 | 	type = INSERT
0        | 3757       | 7011       | 1666792    | 4549536    | 64751      | 55393956237 | 11737      | 3146825609 | 	type = INSERT
0        | 4033       | 6992       | 1861410    | 3769093    | 23570      | 55445610165 | 9994       | 3011553003 | 	type = INSERT
0        | 4248       | 7004       | 1755394    | 3798559    | 51035      | 55364842375 | 9072       | 2835417328 | 	type = INSERT
