0        | 6          | 8599       | 79107217197 | 3796       | 1436       | 9794       | 60         | 708870923  | 6593493856 | 181557     | 8869       | 71561      | 971701     | 7089       | 739445     | 32603879   | 153135     | 1731944    | 27191878   | 9022       | 8425       | 70661205   | 12398378375 | 35109      | 3102       | 47079      | 7321       | 180061     | 104784254  | 1161408    | 196399685  | 7563       | 5056       | 59257245023 | 35285      | 209824     | 3981       | 	type = INSERT
0        | 7          | 8599       | 81990300167 | 3613       | 1439       | 9787       | 126        | 708854072  | 6593473318 | 28588      | 8880       | 197975     | 830626     | 7089       | 704332     | 30513243   | 64938      | 1457420    | 27704607   | 11679      | 8425       | 69622650   | 12398400475 | 40433      | 3126       | 54084      | 7323       | 186549     | 102007135  | 1228900    | 196367497  | 7556       | 5057       | 59262985485 | 22486      | 259061     | 3983       | 	type = INSERT
0        | 8          | 8599       | 79061663439 | 4273       | 1440       | 9799       | 144        | 708882537  | 6593472109 | 19699      | 8871       | 158042     | 60014      | 7090       | 658342     | 30268095   | 65987      | 1485639    | 30595779   | 11776      | 8417       | 69603827   | 12410594400 | 2612       | 3098       | 42712      | 7333       | 162374     | 111699116  | 1158653    | 196711313  | 7556       | 5053       | 59257239708 | 43921      | 218289     | 3980       | 	type = INSERT
0        | 9          | 8599       | 86469793302 | 4576       | 1439       | 9796       | 191        | 764962326  | 6593513548 | 116811     | 8866       | 4429       | 411397     | 7088       | 672790     | 30241146   | 404030     | 1459929    | 27159396   | 11468      | 8419       | 69622738   | 12472556293 | 16626      | 3095       | 24450      | 7329       | 154523     | 101932473  | 1130131    | 199333275  | 7560       | 5054       | 59453254607 | 55653      | 240551     | 3981       | 	type = INSERT
0        | 10         | 8599       | 95563044128 | 4433       | 1433       | 9796       | 98         | 715301570  | 6593462059 | 77091      | 8867       | 223265     | 417196     | 7086       | 708481     | 30237268   | 248051     | 1493973    | 27178646   | 9057       | 8422       | 69649967   | 12398864308 | 58709      | 3105       | 22197      | 7324       | 150627     | 101854169  | 1658371    | 221915567  | 7558       | 5055       | 59267542430 | 8285       | 256344     | 3976       | 	type = INSERT
0        | 11         | 8599       | 79054271602 | 2280       | 1438       | 9793       | 245        | 718350119  | 6593507618 | 189693     | 8871       | 189504     | 397895     | 7086       | 711722     | 30326705   | 236750     | 1477723    | 27175335   | 11443      | 8425       | 77403219   | 12421408832 | 5068       | 3132       | 32298      | 7328       | 141095     | 101869739  | 1619384    | 196403288  | 7557       | 5058       | 59257128579 | 46292      | 221654     | 3978       | 	type = INSERT
0        | 12         | 8599       | 79203156215 | 3343       | 1434       | 9793       | 118        | 715163435  | 6593494621 | 38776      | 8879       | 184287     | 71565      | 7088       | 827139     | 30272305   | 268087     | 1504125    | 28882454   | 10980      | 8423       | 69606598   | 12398405604 | 31788      | 3134       | 52204      | 7342       | 190482     | 101862748  | 1251404    | 196445377  | 7558       | 5054       | 62830679246 | 30648      | 225555     | 3977       | 	type = INSERT
0        | 13         | 8599       | 79079727346 | 3333       | 1433       | 9791       | 214        | 772571041  | 6600829336 | 196716     | 8880       | 51268      | 950566     | 7086       | 709560     | 30824616   | 37202      | 1488351    | 27162705   | 11816      | 8424       | 69854893   | 12407052088 | 20066      | 3093       | 57560      | 7339       | 160929     | 101890463  | 1199930    | 196377271  | 7553       | 5052       | 59261881460 | 64280      | 210339     | 3981       | 	type = INSERT
0        | 14         | 8599       | 79054263349 | 2553       | 1437       | 9793       | 53         | 709576897  | 6593488065 | 18758      | 8872       | 9105       | 389765     | 7087       | 713063     | 30271100   | 509709     | 1442077    | 27162238   | 9935       | 8423       | 69628416   | 12398416815 | 30666      | 3123       | 21227      | 7330       | 190443     | 101867424  | 1117684    | 197288963  | 7555       | 5057       | 59257181942 | 27161      | 241983     | 3975       | 	type = INSERT
0        | 15         | 8599       | 79082653115 | 3315       | 1441       | 9789       | 244        | 709232920  | 6593467367 | 64345      | 8877       | 133363     | 385391     | 7091       | 693123     | 33772932   | 40290      | 1482546    | 27164931   | 11691      | 8424       | 69795622   | 12557792610 | 23116      | 3132       | 29488      | 7343       | 195640     | 102287342  | 1225786    | 197824210  | 7560       | 5056       | 59257336117 | 57588      | 217646     | 3983       | 	type = INSERT
